시군명,지식산업센터명칭,위도,경도,소재지지번주소,소재지도로명주소,용도지역,부지면적(㎡),건축면적(㎡),층수(지하/지상),공장시설면적(㎡),기타산업시설면적(㎡),지원시설면적(㎡),공동시설면적(㎡),유치가능업체수,입주업체수,입주율,공장동수,분양형태,공사진행상황,허가일자,착공일자,준공일자,사용승인일,사업자등록번호,데이터기준일자,전화번호,비고
수원시,수원첨단벤처밸리,37.2429567,126.9773263,경기도 수원시 권선구 고색동 958번지,경기도 수원시 권선구 오목천로152번길 40,일반공업,7477,4958.35,B1/10,38313,,2303,,162,116,0.72,1,분양,준공,2006-09-20,2006-10-16,2008-04-02,2008-04-02,,2024-02-01,,
수원시,수원팩토리월드,37.2655424,127.0643181,경기도 수원시 영통구 원천동 332-2번지,경기도 수원시 영통구 삼성로 274,준공업,10053,4968.8,B3/10,49750,,13938,,172,153,0.89,1,분양,준공,1991-10-24,1991-11-16,1993-11-10,1993-11-10,,2024-02-01,,
수원시,수원휴먼스카이밸리,37.2427164,126.9764931,경기도 수원시 권선구 고색동 959번지,경기도 수원시 권선구 오목천로132번길 33,일반공업,7468.6,5182.89,B1/10,39071,,2573,,173,128,0.74,1,분양,준공,2007-01-04,2008-05-21,2010-04-29,2010-04-29,,2024-02-01,,
수원시,썬테크노빌,37.2472092,127.0544045,경기도 수원시 영통구 망포동 5-27번지,경기도 수원시 영통구 덕영대로1471번길 77,일반공업,1169,763.21,B1/5,4439,,,,10,10,1,1,분양,준공,2001-04-10,2001-06-23,2002-06-14,2002-06-14,,2024-02-01,,
수원시,에이스광교타워1,37.3005054,127.0464858,경기도 수원시 영통구 이의동 1248-3번지,경기도 수원시 영통구 대학4로 17,준주거,7318.8,3553.06,B3/10,42111,,4576,,225,207,0.92,1,분양,준공,2015-05-11,2015-05-29,2016-12-27,2016-11-03,,2024-02-01,,
수원시,에이스광교타워2,37.2957145,127.0416369,경기도 수원시 영통구 이의동 1286-1번지,경기도 수원시 영통구 창룡대로256번길 91,준주거,4703,2650.13,B4/15,31610,,1893.81,,164,155,0.95,1,분양,준공,2016-02-03,2016-04-07,2018-05-15,2018-03-20,,2024-02-01,,
수원시,에이스광교타워3,37.2961076,127.0410182,경기도 수원시 영통구 이의동 1286번지,경기도 수원시 영통구 창룡대로256번길 77,준주거,4897,2474.03,B4/15,31254.37,,3835,,292,198,0.68,1,분양,준공,2016-06-24,2016-11-16,2018-11-12,2018-10-30,,2024-02-01,,
수원시,에이스스마트윙영통,37.2651653,127.0614145,경기도 수원시 영통구 원천동 246외 2필지,경기도 수원시 영통구 삼성로 253,일반공업,4555,2726.01,B2/14,26303.51,,3519.35,,340,104,0.31,1,분양,준공,2004-11-30,2004-12-28,2021-12-08,2021-10-28,,2024-02-01,,
수원시,에이스하이엔드타워,37.2486899,127.0568892,경기도 수원시 영통구 신동 338번지,경기도 수원시 영통구 영통로 237,일반공업,4820,2541.91,B4/10,15019,,16326,,224,171,0.76,1,분양,준공,2017-05-25,2017-09-10,2019-12-27,2019-10-31,,2024-02-01,,
수원시,엠제이아이티밸리,37.2771185,127.0318574,경기도 수원시 팔달구 인계동 940-18번지,경기도 수원시 팔달구 장다리로 328,일반상업,800,584.51,B3/14,3254,,5099,,104,61,0.59,1,분양,준공,2018-01-10,2018-04-27,2020-01-31,2019-12-27,,2024-02-01,,
수원시,영통이노플렉스1,37.2624841,127.0616964,경기도 수원시 영통구 원천동 552번지,경기도 수원시 영통구 신원로 306,일반공업,8952,5273.19,B5/11,51806,,7579,,89,55,0.62,2,분양,준공,2007-09-14,2007-10-24,2009-11-19,2009-11-19,,2024-02-01,,
수원시,영통이노플렉스2,37.2621819,127.0610186,경기도 수원시 영통구 원천동 554번지,경기도 수원시 영통구 신원로 304,일반공업,4154,2309.89,B3/9,22684,,1805,,233,108,0.46,1,분양,준공,2008-01-21,2008-02-01,2009-11-19,2009-11-19,,2024-02-01,,
수원시,우만전자공단,37.292089,127.032697,경기도 수원시 팔달구 우만동 300-5번지,경기도 수원시 팔달구 창룡대로210번길 12,일반주거,2205,905.54,B2/8,7079,,2727,,15,15,1,1,분양,준공,1992-12-31,1993-01-26,1994-07-21,1994-07-21,,2024-02-01,,
수원시,우성테크노파크수원정자,37.3106038,126.9834152,경기도 수원시 장안구 이목동 338-6번지,경기도 수원시 장안구 이목로 17,일반공업,8133,4871.07,B3/13,47967.02,,7145.61,,646,22,0.03,1,분양,준공,2021-05-21,2021-06-04,2024-01-16,2023-12-29,,2024-02-01,,
수원시,테크트리영통,37.2493288,127.0476598,경기도 수원시 영통구 신동 478-6번지,경기도 수원시 영통구 신원로 55,일반공업,13065.4,6856.72,B3/15,30643.2,,12542.34,,352,186,0.53,2,분양,준공,2018-12-26,2019-07-01,2021-12-08,2021-11-24,,2024-02-01,,
수원시,프리마비즈센터,37.2567078,126.964463,경기도 수원시 권선구 호매실동 1405-2번지,경기도 수원시 권선구 호매실로90번길 24,근린상업,8482,5893.85,B2/6,40794.85,,4833.05,,308,171,0.56,1,분양,준공,2019-11-07,2020-01-10,2021-08-13,2021-06-11,,2024-02-01,,
수원시,현대테라타워영통,37.2579085,127.061274,경기도 수원시 영통구 원천동 627번지,경기도 수원시 영통구 신원로250번길 13,일반공업,15702,9418.83,B2/15,72236.56,,24709.8,,648,354,0.55,2,분양,준공,2019-12-16,2019-12-18,2022-07-19,2022-05-31,,2024-02-01,,
성남시,LH기업성장센터,37.4118119,127.0935009,경기도 성남시 수정구 시흥동 294-2 판교제2테크노밸리기업성장센터,경기도 성남시 수정구 창업로 54 (시흥동),준공업,,53053,,,,,,,116,#DIV/0!,,,준공,2018-04-02,2016-10-21,,2018-04-13,,2023-07-31,031-747-0969,
성남시,LH제2기업성장센터,37.4117052,127.0925795,경기도 성남시 수정구 시흥동 산51-2,경기도 성남시 수정구 창업로 54 (시흥동),준공업,,25511,,,,,,,0,#DIV/0!,,,착공전,2020-10-22,,,,,2023-07-31,055-922-5114,
성남시,SK V1,37.43945,127.173655,경기도 성남시 중원구 상대원동 5460 성남 SK V1 tower,경기도 성남시 중원구 갈마치로288번길 14 (상대원동),일반공업,,140396,,,,,,,216,#DIV/0!,,,준공,2016-03-22,2016-09-01,,2019-11-08,,2023-07-31,031-8035-3000,
성남시,SK엔테크노파크,37.4400647,127.1777194,경기도 성남시 중원구 상대원동 190-1 SKn테크노파크,경기도 성남시 중원구 사기막골로 124 (상대원동),일반공업,,196562,,,,,,,422,#DIV/0!,,,준공,2004-08-01,2004-12-07,,2006-11-24,,2023-07-31,031-776-0300,
성남시,SK지식산업센터,37.4352735,127.1744322,경기도 성남시 중원구 상대원동 223-28 SK지식산업센터,경기도 성남시 중원구 갈마치로 234 (상대원동),일반공업,,45642,,,,,,,81,#DIV/0!,,,준공,1997-04-01,1997-07-31,,1998-11-28,,2023-07-31,031-736-0888,
성남시,SW드림타운,37.4129938,127.0941146,경기도 성남시 수정구 시흥동 산53-5,,준공업,,18621,,,,,,,0,#DIV/0!,,,건설중,2018-08-13,2021-03-10,,,,2023-07-31,02-2141-7862,
성남시,Weave Tower,37.4359014,127.173219,경기도 성남시 중원구 상대원동 252-1,경기도 성남시 중원구 갈마치로 241 (상대원동),일반공업,,83481,,,,,,,0,#DIV/0!,,,건설중,2020-11-24,2021-06-01,,,,2023-07-31,02-2008-9915,
성남시,경기기업성장센터,37.4115806,127.0950326,경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터,경기도 성남시 수정구 창업로 42 (시흥동),준공업,,70598,,,,,,,114,#DIV/0!,,,준공,2018-04-02,2017-02-14,,2019-01-16,,2023-07-31,031-757-9011,
성남시,글로벌Biz센터,37.4117516,127.0960916,경기도 성남시 수정구 시흥동 340,경기도 성남시 수정구 창업로 43 (시흥동),준주거,,95588,,,,,,,46,#DIV/0!,,,준공,2020-04-20,2020-08-19,,2022-02-27,,2023-07-31,070-4035-3443,
성남시,금강펜테리움IT타워,37.4335009,127.1734991,경기도 성남시 중원구 상대원동 333-7 금강펜테리움IT타워,경기도 성남시 중원구 갈마치로 215 (상대원동),일반공업,,99283,,,,,,,112,#DIV/0!,,,준공,2006-03-02,2006-05-15,,2008-02-28,,2023-07-31,031-730-0110,
성남시,금강하이테크밸리,37.4445015,127.1780201,경기도 성남시 중원구 상대원동 133-1 금강하이테크밸리,경기도 성남시 중원구 사기막골로 177 (상대원동),일반공업,,40208,,,,,,,72,#DIV/0!,,,준공,2001-01-02,2001-12-28,,2003-07-24,,2023-07-31,031-777-5115,
성남시,금강하이테크밸리 2차,37.4428369,127.1772981,경기도 성남시 중원구 상대원동 138-1 금강하이테크밸리2차,경기도 성남시 중원구 사기막골로 159 (상대원동),일반공업,,20252,,,,,,,48,#DIV/0!,,,준공,2002-09-25,2004-02-11,,2005-05-18,,2023-07-31,031-737-4001,
성남시,노벨테크노타워,37.4403507,127.1747487,경기도 성남시 중원구 상대원동 138-12 노벨테크노타워,경기도 성남시 중원구 갈마치로288번길 24 (상대원동),일반공업,,3361,,,,,,,10,#DIV/0!,,,준공,2001-03-02,2001-06-08,,2002-05-23,,2023-07-31,031-749-8119,
성남시,델리스지식산업센터,37.4431925,127.1779288,경기도 성남시 중원구 상대원동 135-5,경기도 성남시 중원구 사기막골로 164 (상대원동),일반공업,,9697,,,,,,,6,#DIV/0!,,,준공,2014-12-24,2015-02-13,,2008-03-11,,2023-07-31,031-296-1111,
성남시,드림테크노,37.431633,127.1682213,경기도 성남시 중원구 상대원동 513-22 드림테크노,경기도 성남시 중원구 둔촌대로 464 (상대원동),일반공업,,16461,,,,,,,28,#DIV/0!,,,준공,2007-03-16,2007-04-06,,2008-06-19,,2023-07-31,031-737-6600,
성남시,반도아이비밸리,37.4273037,127.0939188,경기도 성남시 수정구 고등동 603,경기도 성남시 수정구 청계산로 686 (고등동),근린상업,,41544,,,,,,,13,#DIV/0!,,,준공,2018-03-23,2018-07-12,,2020-02-14,,2023-07-31,031-759-4630,
성남시,반포테크노피아,37.4306273,127.1742733,경기도 성남시 중원구 상대원동 513-3 반포테크노피아,경기도 성남시 중원구 갈마치로 186 (상대원동),일반공업,,20383,,,,,,,32,#DIV/0!,,,준공,2008-01-30,2008-07-10,,2010-01-18,,2023-07-31,031-733-5604,
성남시,벽산테크노피아,37.4311999,127.1786072,경기도 성남시 중원구 상대원동 434-6 벽산테크노피아아파트형공장,경기도 성남시 중원구 둔촌대로 560 (상대원동),일반공업,,29866,,,,,,,56,#DIV/0!,,,준공,2001-02-01,2001-05-19,,2002-08-06,,2023-07-31,031-737-8117,
성남시,분당남서울첨단,37.3795849,127.1012004,경기도 성남시 분당구 백현동 404-6,경기도 성남시 분당구 대왕판교로395번길 8 (백현동),자연녹지,,10496,,,,,,,0,#DIV/0!,,,준공,1999-05-02,2000-06-02,,2001-11-28,,2023-07-31,031-788-9484,
성남시,분당테크노파크,37.4054253,127.1509768,"경기도 성남시 분당구 판교로 697, 700, 723, 744","경기도 성남시 분당구 판교로 697, 700, 723, 744",근린상업,,188839,,,,,,,135,#DIV/0!,,,준공,1991-03-02,1992-04-01,,1994-09-26,,2023-07-31,031-706-9200,
성남시,선일테크노피아,37.4321361,127.1783964,경기도 성남시 중원구 상대원동 440 선일테크노피아,경기도 성남시 중원구 둔촌대로 555 (상대원동),일반공업,,43406,,,,,,,89,#DIV/0!,,,준공,2001-10-01,2002-01-21,,2003-06-30,,2023-07-31,031-777-3100,
성남시,선텍시티,37.4313089,127.169184,경기도 성남시 중원구 상대원동 513-15 선텍시티1,경기도 성남시 중원구 둔촌대로 474 (상대원동),일반공업,,59245,,,,,,,76,#DIV/0!,,,준공,2001-07-01,2002-04-01,,2003-05-27,,2023-07-31,031-777-1115,
성남시,선텍시티2차,37.4347902,127.1708847,경기도 성남시 중원구 상대원동 307-2 선택시티 2,경기도 성남시 중원구 사기막골로 52 (상대원동),일반공업,,34613,,,,,,,38,#DIV/0!,,,준공,2003-09-08,2004-03-19,,2005-06-14,,2023-07-31,031-737-4999,
성남시,성남 센터엠,37.4352651,127.1752174,경기도 성남시 중원구 상대원동 223-27,경기도 성남시 중원구 사기막골로62번길 33 (상대원동),일반공업,,70980,,,,,,,158,#DIV/0!,,,준공,2019-02-14,2019-07-11,,2021-11-10,,2023-07-31,031-620-5700,
성남시,성남글로벌융합센터,37.4090305,127.0948539,경기도 성남시 수정구 시흥동 356,경기도 성남시 수정구 달래내로 46 (시흥동),준공업,,36617,,,,,,,12,#DIV/0!,,,준공,2018-12-04,2019-11-26,,2022-03-21,,2023-07-31,031-781-9363,
성남시,성남센트럴비즈타워,37.4419296,127.1716417,경기도 성남시 중원구 상대원동 143-2 성남 센트럴비즈타워 1,경기도 성남시 중원구 갈마치로 314 (상대원동),일반공업,,63471,,,,,,,96,#DIV/0!,,,준공,2017-06-15,2018-10-01,,2019-09-06,,2023-07-31,031-639-6414,
성남시,성남센트럴비즈타워2차,37.4386518,127.1741675,경기도 성남시 중원구 상대원동 5469,경기도 성남시 중원구 사기막골로 99 (상대원동),일반공업,,94465,,,,,,,144,#DIV/0!,,,준공,2018-11-27,2020-02-13,,2022-08-31,,2023-07-31,031-723-0500,
성남시,성우지식산업센터,37.4306133,127.1734132,경기도 성남시 중원구 상대원동 510-9 주식회사 성우메디텍,경기도 성남시 중원구 갈마치로 176 (상대원동),일반공업,,1946,,,,,,,0,#DIV/0!,,,준공,2023-01-16,,,1997-10-01,,2023-07-31,031-798-5073,
성남시,스타우드,37.4328372,127.1618304,경기도 성남시 중원구 상대원동 5439-1 STARWOOD아파트형공장,경기도 성남시 중원구 둔촌대로 400 (상대원동),일반공업,,19392,,,,,,,18,#DIV/0!,,,준공,2004-08-04,2004-09-03,,2006-02-10,,2023-07-31,031-737-0881,
성남시,스타타워,37.4351312,127.1760882,경기도 성남시 중원구 상대원동 223-25 스타타워,경기도 성남시 중원구 사기막골로62번길 37 (상대원동),일반공업,,57015,,,,,,,69,#DIV/0!,,,준공,2008-06-12,2008-11-12,,2010-08-25,,2023-07-31,031-8018-5114,
성남시,시콕스타워,37.4311432,127.1706477,경기도 성남시 중원구 상대원동 513-14,경기도 성남시 중원구 둔촌대로 484 (상대원동),일반공업,,57802,,,,,,,115,#DIV/0!,,,준공,2001-10-02,2002-09-30,,2004-06-10,,2023-07-31,031-777-9116,
성남시,쌍용IT트윈타워1차,37.4320165,127.1763917,경기도 성남시 중원구 상대원동 442-17 쌍용IT트윈타워 A동,경기도 성남시 중원구 둔촌대로 537 (상대원동),일반공업,,29285,,,,,,,68,#DIV/0!,,,준공,2001-07-01,2001-08-20,,2003-05-27,,2023-07-31,031-607-6300,
성남시,쌍용IT트윈타워2차,37.431975,127.1757957,경기도 성남시 중원구 상대원동 442-5 쌍용IT트윈타워 B동,경기도 성남시 중원구 둔촌대로 531 (상대원동),일반공업,,29356,,,,,,,47,#DIV/0!,,,준공,2001-03-01,2001-10-05,,2003-02-07,,2023-07-31,031-607-6300,
성남시,영원패션클러스터,37.4440614,127.1772246,"경기도 성남시 중원구 상대원동 133-2, 132-5",경기도 성남시 중원구 사기막골로 169 (상대원동),일반공업,,38542,,,,,,,0,#DIV/0!,,,건설중,2020-01-31,,,,,2023-07-31,02-390-6613,
성남시,우림라이온스밸리 1차,37.4339113,127.1701341,경기도 성남시 중원구 상대원동 311-3 성남우림라이온스밸리,경기도 성남시 중원구 둔촌대로457번길 27 (상대원동),일반공업,,65136,,,,,,,114,#DIV/0!,,,준공,2007-01-10,2007-01-10,,2008-10-17,,2023-07-31,031-737-2114,
성남시,우림라이온스밸리 2차,37.4364158,127.1700902,경기도 성남시 중원구 상대원동 146-8 성남 우림 라이온스밸리,경기도 성남시 중원구 사기막골로45번길 14 (상대원동),일반공업,,97706,,,,,,,245,#DIV/0!,,,준공,2007-12-10,2007-12-31,,2010-11-12,,2023-07-31,031-8018-2100,
성남시,우림라이온스밸리 3차,37.4310114,127.1592846,경기도 성남시 중원구 상대원동 5445 성남 우림라이온스밸리3차,경기도 성남시 중원구 둔촌대로388번길 24 (상대원동),일반공업,,37582,,,,,,,57,#DIV/0!,,,준공,2007-12-10,2007-12-31,,2009-10-01,,2023-07-31,031-720-5088,
성남시,우림라이온스밸리 5차,37.4403301,127.1726558,경기도 성남시 중원구 상대원동 144-3 성남우림라이온스밸리5차,경기도 성남시 중원구 갈마치로 302 (상대원동),일반공업,,99470,,,,,,,250,#DIV/0!,,,준공,2007-12-10,2007-12-31,,2010-06-29,,2023-07-31,031-750-0100,
성남시,이노트리,37.4423435,127.1795839,경기도 성남시 중원구 상대원동 66-1 아세아도,경기도 성남시 중원구 순환로 210 (상대원동),일반공업,,8120,,,,,,,3,#DIV/0!,,,준공,2002-03-02,2002-04-19,,2003-06-23,,2023-07-31,031-746-6191,
성남시,자생메디바이오센터,37.4331906,127.1680082,경기도 성남시 중원구 상대원동 567-1,경기도 성남시 중원구 사기막골로 18 (상대원동),일반공업,,22676,,,,,,,4,#DIV/0!,,,준공,2017-05-11,2017-07-07,,2021-06-30,,2023-07-31,02-750-1533,
성남시,중앙이노테크,37.4413749,127.1777409,경기도 성남시 중원구 상대원동 171,경기도 성남시 중원구 사기막골로 148 (상대원동),일반공업,,41379,,,,,,,63,#DIV/0!,,,준공,2011-05-26,2011-10-10,,2013-07-26,,2023-07-31,031-723-0911,
성남시,중앙인더스피아,37.4328407,127.1672843,경기도 성남시 중원구 상대원동 517-13 중앙인더스피아,경기도 성남시 중원구 둔촌대로 449 (상대원동),일반공업,,36541,,,,,,,48,#DIV/0!,,,준공,1997-09-01,1998-04-07,,2000-11-15,,2023-07-31,031-740-9400,
성남시,중앙인더스피아 3차,37.4412239,127.1731067,경기도 성남시 중원구 상대원동 144-1 중앙인더스피아3,경기도 성남시 중원구 사기막골로105번길 27 (상대원동),일반공업,,6501,,,,,,,29,#DIV/0!,,,준공,2007-04-02,2009-04-25,,2010-12-29,,2023-07-31,031-744-7275,
성남시,중앙인더스피아 5차,37.4416408,127.1764794,경기도 성남시 중원구 상대원동 138-6 중앙인더스피아5차,경기도 성남시 중원구 사기막골로 137 (상대원동),일반공업,,37800,,,,,,,34,#DIV/0!,,,준공,2004-09-18,2005-03-23,,2006-05-22,,2023-07-31,031-739-5114,
성남시,중앙인더스피아2차,37.4404465,127.1735848,경기도 성남시 중원구 상대원동 144-5 중앙인더스피아2아파트형공장,경기도 성남시 중원구 사기막골로105번길 25 (상대원동),일반공업,,37833,,,,,,,31,#DIV/0!,,,준공,2001-05-01,2001-06-16,,2002-10-17,,2023-07-31,031-737-6117,
성남시,중일아인스프라츠 2차,37.4392993,127.1751134,경기도 성남시 중원구 상대원동 138-7 아인스프라츠2차,경기도 성남시 중원구 사기막골로 111 (상대원동),일반공업,,14848,,,,,,,3,#DIV/0!,,,준공,2008-05-18,2008-08-22,,2010-10-18,,2023-07-31,02-3451-7000,
성남시,중일아인스프라츠 3차,37.4317014,127.1745751,경기도 성남시 중원구 상대원동 442-13 중일아인스프라츠,경기도 성남시 중원구 둔촌대로 519 (상대원동),일반공업,,19580,,,,,,,12,#DIV/0!,,,준공,2008-08-08,2008-10-07,,2010-03-12,,2023-07-31,031-750-9700,
성남시,크란츠테크노,37.4326449,127.1591687,경기도 성남시 중원구 상대원동 5442-1 크란츠 테크노,경기도 성남시 중원구 둔촌대로 388 (상대원동),일반공업,,74715,,,,,,,138,#DIV/0!,,,준공,2002-03-22,2002-06-28,,2004-01-09,,2023-07-31,031-733-7900,
성남시,판교이노베이션랩,37.406084,127.0853795,경기도 성남시 수정구 금토동 713 판교이노베이션랩 지식산업센터,경기도 성남시 수정구 금토로80번길 11 (금토동),준주거,,57668,,,,,,,21,#DIV/0!,,,준공,2019-06-03,2019-10-15,,2022-01-14,,2023-07-31,031-705-8545,
성남시,포스테크노,37.4384649,127.177903,경기도 성남시 중원구 상대원동 234-1 포스테크노,경기도 성남시 중원구 순환로 165 (상대원동),일반공업,,58911,,,,,,,104,#DIV/0!,,,준공,2001-03-01,2001-08-04,,2003-03-26,,2023-07-31,031-737-5001,
성남시,한라시그마밸리,37.4320761,127.1773739,경기도 성남시 중원구 상대원동 442-2 한라시그마밸리,경기도 성남시 중원구 둔촌대로 545 (상대원동),일반공업,,58877,,,,,,,102,#DIV/0!,,,준공,2008-09-18,2008-12-10,,2010-09-16,,2023-07-31,031-736-4147,
성남시,현대I밸리,37.4365036,127.1772568,경기도 성남시 중원구 상대원동 223-12 현대아이밸리,경기도 성남시 중원구 갈마치로244번길 31 (상대원동),일반공업,,51644,,,,,,,78,#DIV/0!,,,준공,1999-10-01,2000-02-01,,2001-03-24,,2023-07-31,031-737-9115,
성남시,현대지식산업센터,37.4288603,127.0936893,경기도 성남시 수정구 고등동 572 현대지식산업센터 성남고등,경기도 성남시 수정구 고등로 3 (고등동),준주거,,49915,,,,,,,11,#DIV/0!,,,준공,2018-10-12,2018-12-14,,2021-01-11,,2023-07-31,031-738-1100,
의정부시,뉴빛,37.7434059,127.0831737,경기도 의정부시 용현동 524-4,경기도 의정부시 산단로76번길 93,준공업,2940.1,1451.57,B1/3,4241.99,,1011.48,0,10,6,0.6,1,자가+임대,사용승인,2013-08-07,2013-11-15,2014-07-28,2014-07-28,,2023-07-25,031-850-1902,
의정부시,의정부 더리브 센텀스퀘어 1동,37.7472659,127.1192477,경기도 의정부시 민락동 927-1,,준주거,6086,3622.15,B2/10,18715.41,,3224.3,20423.38,238,0,0,1,분양,사용승인,2020-05-12,2020-11-25,2022-08-18,2022-08-18,,2023-07-25,031-853-9535,
의정부시,의정부 더리브 센텀스퀘어 2동,37.7468145,127.1192036,경기도 의정부시 민락동 927-3,,준주거,6086,3622.15,B2/10,18415.13,,3425.63,20456.87,233,0,0,1,분양,사용승인,2020-05-12,2020-11-26,2022-08-18,2022-08-18,,2023-07-25,031-853-9561,
의정부시,의정부 더리브 센텀스퀘어 3동,37.7470419,127.1202616,경기도 의정부시 민락동 927-2,,준주거,6086,3621.09,B2/10,18127.63,,3312.96,20522.99,230,0,0,1,분양,사용승인,2020-05-13,2020-11-25,2022-08-18,2022-08-18,,2023-07-25,031-853-9638,
의정부시,한강듀클래스 의정부 고산 A동,37.728895,127.103862,경기도 의정부시 고산동 996-1,,준주거,7418.2,4422.73,B1/10,22821.06,,1802.94,23036.7,260,0,0,1,분양,사용승인,2020-04-29,2020-08-18,2022-07-28,2022-07-28,,2023-07-25,031-928-5295,
의정부시,한강듀클래스 의정부 고산 B동,37.7284791,127.1028358,경기도 의정부시 고산동 996-3,,준주거,7564.8,4501.2,B1/10,22027.51,,1927.18,22884.89,305,0,0,1,분양,사용승인,2020-04-29,2020-08-18,2022-07-28,2022-07-28,,2023-07-25,031-928-5295,
의정부시,한강듀클래스 의정부 고산 C동,37.7283995,127.1042153,경기도 의정부시 고산동 996-2,,준주거,5887.9,3528.42,B1/10,17547.95,,1524.73,17972.29,183,0,0,1,분양,사용승인,2020-04-29,2020-08-31,2022-08-12,2022-08-12,,2023-07-25,031-928-5295,
안양시,K-비즈리움,37.3941271,126.9747396,경기도 안양시 동안구 평촌동 87-10 평촌 K-비즈리움,경기도 안양시 동안구 흥안대로 445,일반공업,3402.8,19680.45,B3/11,14128.01,,5552.44,,148,,0,1,분양,준공,2018-06-27,2018-08-31,2020-07-03,2020-07-03,,2023-08-02,031-422-6990,
안양시,LS엠트론㈜하이테크센터,37.3737746,126.9498282,경기도 안양시 동안구 호계동 555-16,경기도 안양시 동안구 엘에스로116번길 39,준공업,8367.6,42238.33,B3/8,21811.11,,20427.22,,8,,0,1,분양,준공,2011-08-04,2011-10-18,2013-01-25,2013-01-25,,2023-08-02,031-8045-9429,
안양시,THE H TOWER 919 지식산업센터,37.3953793,126.9695097,경기도 안양시 동안구 관양동 919외 2필지,,일반공업,4558,27147.231,B2/15,23977.44,,3169.79,,139,,0,1,,건설중,,,,,,2023-08-02,,
